Worker-1 started -> Job ID: 2, Task: Task-2, Type: NETWORK, Priority: MEDIUM, Time: 3000ms, Status: RUNNING, Retries: 0
Worker-4 started -> Job ID: 6, Task: Task-6, Type: NETWORK, Priority: HIGH, Time: 2000ms, Status: RUNNING, Retries: 0
Worker-2 started -> Job ID: 3, Task: Task-3, Type: DATABASE, Priority: HIGH, Time: 4000ms, Status: RUNNING, Retries: 0
Worker-3 started -> Job ID: 9, Task: Task-9, Type: IO, Priority: HIGH, Time: 5000ms, Status: RUNNING, Retries: 0
Worker-3 timeout -> Job ID: 9, Task: Task-9, Type: IO, Priority: HIGH, Time: 5000ms, Status: FAILED, Retries: 0
Worker-3 started -> Job ID: 4, Task: Task-4, Type: CPU, Priority: MEDIUM, Time: 5000ms, Status: RUNNING, Retries: 0
Worker-3 timeout -> Job ID: 4, Task: Task-4, Type: CPU, Priority: MEDIUM, Time: 5000ms, Status: FAILED, Retries: 0
Worker-3 started -> Job ID: 10, Task: Task-10, Type: NETWORK, Priority: MEDIUM, Time: 1000ms, Status: RUNNING, Retries: 0
Worker-3 retrying -> Job ID: 10, Task: Task-10, Type: NETWORK, Priority: MEDIUM, Time: 1000ms, Status: PENDING, Retries: 1
Worker-3 started -> Job ID: 8, Task: Task-8, Type: CPU, Priority: MEDIUM, Time: 4000ms, Status: RUNNING, Retries: 0
Worker-4 completed -> Job ID: 6, Task: Task-6, Type: NETWORK, Priority: HIGH, Time: 2000ms, Status: COMPLETED, Retries: 0
Worker-4 started -> Job ID: 10, Task: Task-10, Type: NETWORK, Priority: MEDIUM, Time: 1000ms, Status: RUNNING, Retries: 1
Worker-1 retrying -> Job ID: 2, Task: Task-2, Type: NETWORK, Priority: MEDIUM, Time: 3000ms, Status: PENDING, Retries: 1
Worker-1 started -> Job ID: 2, Task: Task-2, Type: NETWORK, Priority: MEDIUM, Time: 3000ms, Status: RUNNING, Retries: 1
Worker-4 completed -> Job ID: 10, Task: Task-10, Type: NETWORK, Priority: MEDIUM, Time: 1000ms, Status: COMPLETED, Retries: 1
Worker-4 started -> Job ID: 1, Task: Task-1, Type: IO, Priority: LOW, Time: 2000ms, Status: RUNNING, Retries: 0
Worker-2 completed -> Job ID: 3, Task: Task-3, Type: DATABASE, Priority: HIGH, Time: 4000ms, Status: COMPLETED, Retries: 0
Worker-4 completed -> Job ID: 1, Task: Task-1, Type: IO, Priority: LOW, Time: 2000ms, Status: COMPLETED, Retries: 0
Worker-3 completed -> Job ID: 8, Task: Task-8, Type: CPU, Priority: MEDIUM, Time: 4000ms, Status: COMPLETED, Retries: 0
Worker-1 retrying -> Job ID: 2, Task: Task-2, Type: NETWORK, Priority: MEDIUM, Time: 3000ms, Status: PENDING, Retries: 2
Worker-4 started -> Job ID: 2, Task: Task-2, Type: NETWORK, Priority: MEDIUM, Time: 3000ms, Status: RUNNING, Retries: 2
Worker-3 started -> Job ID: 7, Task: Task-7, Type: DATABASE, Priority: LOW, Time: 3000ms, Status: RUNNING, Retries: 0
Worker-2 started -> Job ID: 11, Task: 6, Type: CPU, Priority: LOW, Time: 5ms, Status: RUNNING, Retries: 0
Worker-1 started -> Job ID: 5, Task: Task-5, Type: IO, Priority: LOW, Time: 1000ms, Status: RUNNING, Retries: 0
Worker-2 retrying -> Job ID: 11, Task: 6, Type: CPU, Priority: LOW, Time: 5ms, Status: PENDING, Retries: 1
Worker-2 started -> Job ID: 11, Task: 6, Type: CPU, Priority: LOW, Time: 5ms, Status: RUNNING, Retries: 1
Worker-2 completed -> Job ID: 11, Task: 6, Type: CPU, Priority: LOW, Time: 5ms, Status: COMPLETED, Retries: 1
Worker-1 retrying -> Job ID: 5, Task: Task-5, Type: IO, Priority: LOW, Time: 1000ms, Status: PENDING, Retries: 1
Worker-1 started -> Job ID: 5, Task: Task-5, Type: IO, Priority: LOW, Time: 1000ms, Status: RUNNING, Retries: 1
Worker-1 completed -> Job ID: 5, Task: Task-5, Type: IO, Priority: LOW, Time: 1000ms, Status: COMPLETED, Retries: 1
Worker-4 failed -> Job ID: 2, Task: Task-2, Type: NETWORK, Priority: MEDIUM, Time: 3000ms, Status: FAILED, Retries: 2
Worker-3 completed -> Job ID: 7, Task: Task-7, Type: DATABASE, Priority: LOW, Time: 3000ms, Status: COMPLETED, Retries: 0
